pollster,start_date,end_date,sample_size,population,cycle,office_type,election_date,DEM,GOP
Harris Insights & Analytics,2019-02-04,2019-02-07,3002,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-02-03,2019-02-06,3002,RV,2020,House,2020-11-03,42,37
Harris Insights & Analytics,2019-02-02,2019-02-05,3004,RV,2020,House,2020-11-03,42,36
Harris Insights & Analytics,2019-02-01,2019-02-04,3004,RV,2020,House,2020-11-03,42,35
Harris Insights & Analytics,2019-01-31,2019-02-03,3000,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-30,2019-02-02,3000,RV,2020,House,2020-11-03,42,36
Harris Insights & Analytics,2019-01-29,2019-02-01,3004,RV,2020,House,2020-11-03,41,36
Harris Insights & Analytics,2019-01-25,2019-02-01,7007,RV,2020,House,2020-11-03,42,36
Harris Insights & Analytics,2019-01-28,2019-01-31,3004,RV,2020,House,2020-11-03,41,36
Harris Insights & Analytics,2019-01-27,2019-01-30,3001,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-26,2019-01-29,3003,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-25,2019-01-28,3003,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-24,2019-01-27,3000,RV,2020,House,2020-11-03,41,36
Harris Insights & Analytics,2019-01-23,2019-01-26,3000,RV,2020,House,2020-11-03,42,36
Harris Insights & Analytics,2019-01-22,2019-01-25,3007,RV,2020,House,2020-11-03,43,35
Harris Insights & Analytics,2019-01-18,2019-01-25,7010,RV,2020,House,2020-11-03,42,35
Harris Insights & Analytics,2019-01-21,2019-01-24,3008,RV,2020,House,2020-11-03,43,35
Harris Insights & Analytics,2019-01-20,2019-01-23,3006,RV,2020,House,2020-11-03,42,35
Harris Insights & Analytics,2019-01-19,2019-01-22,3003,RV,2020,House,2020-11-03,42,36
Morning Consult,2019-01-18,2019-01-22,1996,RV,2020,House,2020-11-03,43,38
Emerson College Polling Society,2019-01-20,2019-01-21,942,RV,2020,House,2020-11-03,52.4,47.6
Harris Insights & Analytics,2019-01-18,2019-01-21,3002,RV,2020,House,2020-11-03,41,35
Harris Insights & Analytics,2019-01-17,2019-01-20,3000,RV,2020,House,2020-11-03,43,35
Harris Insights & Analytics,2019-01-16,2019-01-19,3000,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-15,2019-01-18,3005,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-11,2019-01-18,7008,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-14,2019-01-17,3004,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-13,2019-01-16,3002,RV,2020,House,2020-11-03,44,35
Winston,2019-01-15,2019-01-15,1000,RV,2020,House,2020-11-03,48,42
Harris Insights & Analytics,2019-01-12,2019-01-15,3002,RV,2020,House,2020-11-03,44,35
Harris Insights & Analytics,2019-01-11,2019-01-14,3003,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-10,2019-01-13,3000,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2019-01-09,2019-01-12,3000,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2019-01-08,2019-01-11,3015,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2019-01-04,2019-01-11,7020,RV,2020,House,2020-11-03,44,36
Harris Insights & Analytics,2019-01-08,2019-01-10,3015,RV,2020,House,2020-11-03,44,36
Harris Insights & Analytics,2019-01-07,2019-01-09,3010,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-06,2019-01-08,3004,RV,2020,House,2020-11-03,43,35
Harris Insights & Analytics,2019-01-05,2019-01-07,3005,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-04,2019-01-06,3000,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-03,2019-01-05,3000,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2019-01-02,2019-01-04,3003,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2019-01-01,2019-01-03,3012,RV,2020,House,2020-11-03,44,35
Harris Insights & Analytics,2018-12-31,2019-01-02,3012,RV,2020,House,2020-11-03,45,35
Harris Insights & Analytics,2018-12-29,2018-12-31,3000,RV,2020,House,2020-11-03,44,35
Winston,2018-12-29,2018-12-30,1000,RV,2020,House,2020-11-03,48,41
Harris Insights & Analytics,2018-12-26,2018-12-28,3001,RV,2020,House,2020-11-03,43,36
Harris Insights & Analytics,2018-12-26,2018-12-27,3001,RV,2020,House,2020-11-03,44,36
Harris Insights & Analytics,2018-12-25,2018-12-26,3002,RV,2020,House,2020-11-03,45,35
Harris Insights & Analytics,2018-12-20,2018-12-24,3005,RV,2020,House,2020-11-03,43,35
Harris Insights & Analytics,2018-12-19,2018-12-21,3019,RV,2020,House,2020-11-03,42,37
Harris Insights & Analytics,2018-12-18,2018-12-20,3018,RV,2020,House,2020-11-03,42,36
Harris Insights & Analytics,2018-12-18,2018-12-19,3018,RV,2020,House,2020-11-03,42,37
Harris Insights & Analytics,2018-12-14,2018-12-18,3003,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2018-12-13,2018-12-17,3000,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2018-12-12,2018-12-14,3000,RV,2020,House,2020-11-03,43,37
McLaughlin & Associates,2018-12-10,2018-12-14,1000,LV,2020,House,2020-11-03,47,43
Harris Insights & Analytics,2018-12-09,2018-12-14,5003,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2018-12-11,2018-12-13,3002,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2018-12-10,2018-12-12,3004,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2018-12-07,2018-12-11,3004,RV,2020,House,2020-11-03,42,38
Harris Insights & Analytics,2018-12-06,2018-12-10,3004,RV,2020,House,2020-11-03,43,37
Emerson College Polling Society,2018-12-06,2018-12-09,800,RV,2020,House,2020-11-03,46.2,44.2
Harris Insights & Analytics,2018-12-05,2018-12-07,3003,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2018-12-02,2018-12-07,5018,RV,2020,House,2020-11-03,43,37
Harris Insights & Analytics,2018-12-04,2018-12-06,3000,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2018-12-03,2018-12-05,3000,RV,2020,House,2020-11-03,43,38
Harris Insights & Analytics,2018-11-30,2018-12-04,3000,RV,2020,House,2020-11-03,44,38
Harris Insights & Analytics,2018-11-29,2018-12-03,3000,RV,2020,House,2020-11-03,43,39
Winston,2018-11-30,2018-12-02,1000,RV,2020,House,2020-11-03,47,41
Harris Insights & Analytics,2018-11-28,2018-11-30,3000,RV,2020,House,2020-11-03,44,39
Harris Insights & Analytics,2018-11-25,2018-11-30,5033,RV,2020,House,2020-11-03,44,38
Harris Insights & Analytics,2018-11-27,2018-11-29,3000,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2018-11-26,2018-11-28,3000,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2018-11-23,2018-11-27,3000,RV,2020,House,2020-11-03,45,37
Harris Insights & Analytics,2018-11-22,2018-11-26,3000,RV,2020,House,2020-11-03,45,37
Harris Insights & Analytics,2018-11-21,2018-11-23,3000,RV,2020,House,2020-11-03,45,37
Harris Insights & Analytics,2018-11-18,2018-11-23,5011,RV,2020,House,2020-11-03,45,38
Harris Insights & Analytics,2018-11-20,2018-11-22,3000,RV,2020,House,2020-11-03,44,37
Harris Insights & Analytics,2018-11-19,2018-11-21,3000,RV,2020,House,2020-11-03,45,38
Harris Insights & Analytics,2018-11-16,2018-11-20,3000,RV,2020,House,2020-11-03,44,38
Harris Insights & Analytics,2018-11-15,2018-11-19,3000,RV,2020,House,2020-11-03,45,38
Harris Insights & Analytics,2018-11-14,2018-11-16,3000,RV,2020,House,2020-11-03,45,37
Harris Insights & Analytics,2018-11-11,2018-11-16,5044,RV,2020,House,2020-11-03,45,37
Harris Insights & Analytics,2018-11-13,2018-11-15,3000,RV,2020,House,2020-11-03,45,38
Harris Insights & Analytics,2018-11-12,2018-11-14,3000,RV,2020,House,2020-11-03,46,37
Ipsos,2018-11-06,2018-11-12,649,A,2018,House,2018-11-06,42.4,31.2
Ipsos,2018-11-06,2018-11-12,531,RV,2018,House,2018-11-06,48.9,35.7
Ipsos,2018-11-05,2018-11-11,359,LV,2018,House,2018-11-06,46,45
Ipsos,2018-11-05,2018-11-11,968,A,2018,House,2018-11-06,41.3,32.7
Ipsos,2018-11-05,2018-11-11,801,RV,2018,House,2018-11-06,47.3,37.2
Ipsos,2018-11-04,2018-11-10,537,LV,2018,House,2018-11-06,48.9,42.7
Ipsos,2018-11-04,2018-11-10,1266,A,2018,House,2018-11-06,41.9,32.6
Ipsos,2018-11-04,2018-11-10,1058,RV,2018,House,2018-11-06,47.3,36.6
Ipsos,2018-11-03,2018-11-09,716,LV,2018,House,2018-11-06,49.5,40.9
Ipsos,2018-11-03,2018-11-09,1587,A,2018,House,2018-11-06,41.4,32.9
Ipsos,2018-11-03,2018-11-09,1328,RV,2018,House,2018-11-06,46.4,37
Ipsos,2018-11-02,2018-11-08,896,LV,2018,House,2018-11-06,48.7,42
Ipsos,2018-11-02,2018-11-08,1898,A,2018,House,2018-11-06,40.7,33
Ipsos,2018-11-02,2018-11-08,1595,RV,2018,House,2018-11-06,45.4,37.3
Ipsos,2018-11-01,2018-11-07,1097,LV,2018,House,2018-11-06,48.7,42.3
Ipsos,2018-11-01,2018-11-07,2217,A,2018,House,2018-11-06,40.2,33.3
Ipsos,2018-11-01,2018-11-07,1868,RV,2018,House,2018-11-06,45.2,37.5
YouGov,2018-11-04,2018-11-06,1290,RV,2018,House,2018-11-06,49,43
Harris Insights & Analytics,2018-11-04,2018-11-06,3005,RV,2018,House,2018-11-06,45,38
Harris Insights & Analytics,2018-11-04,2018-11-06,1944,LV,2018,House,2018-11-06,53,40
Harris Insights & Analytics,2018-11-04,2018-11-06,2324,LV,2018,House,2018-11-06,50,40
Ipsos,2018-10-31,2018-11-06,1201,LV,2018,House,2018-11-06,48.5,43.5
Ipsos,2018-10-31,2018-11-06,2020,A,2018,House,2018-11-06,40,34.3
Ipsos,2018-10-31,2018-11-06,1722,RV,2018,House,2018-11-06,44.2,38.4
Harris Insights & Analytics,2018-11-03,2018-11-05,3005,RV,2018,House,2018-11-06,45,38
Harris Insights & Analytics,2018-11-03,2018-11-05,1922,LV,2018,House,2018-11-06,52,40
Harris Insights & Analytics,2018-11-03,2018-11-05,2305,LV,2018,House,2018-11-06,50,41
Ipsos,2018-10-30,2018-11-05,1326,LV,2018,House,2018-11-06,48.1,43.3
Ipsos,2018-10-30,2018-11-05,2216,A,2018,House,2018-11-06,39.1,33.8
Ipsos,2018-10-30,2018-11-05,1895,RV,2018,House,2018-11-06,44.1,38.2
Harris Insights & Analytics,2018-11-02,2018-11-04,3000,RV,2018,House,2018-11-06,45,38
Harris Insights & Analytics,2018-11-02,2018-11-04,1890,LV,2018,House,2018-11-06,52,40
Harris Insights & Analytics,2018-11-02,2018-11-04,2295,LV,2018,House,2018-11-06,51,41
Morning Consult,2018-11-02,2018-11-04,1963,RV,2018,House,2018-11-06,44,41
Ipsos,2018-10-29,2018-11-04,1441,LV,2018,House,2018-11-06,49.1,41.8
Ipsos,2018-10-29,2018-11-04,2490,A,2018,House,2018-11-06,39,33
Ipsos,2018-10-29,2018-11-04,2108,RV,2018,House,2018-11-06,44,38
Harris Insights & Analytics,2018-11-02,2018-11-03,1000,RV,2018,House,2018-11-06,43,37
Harris Insights & Analytics,2018-11-01,2018-11-03,3000,RV,2018,House,2018-11-06,45,38
Harris Insights & Analytics,2018-11-01,2018-11-03,1914,LV,2018,House,2018-11-06,51,42
Harris Insights & Analytics,2018-11-01,2018-11-03,2315,LV,2018,House,2018-11-06,50,42
Hart Research Associates/Public Opinion Strategies,2018-11-01,2018-11-03,1000,RV,2018,House,2018-11-06,49,43
Hart Research Associates/Public Opinion Strategies,2018-11-01,2018-11-03,774,LV,2018,House,2018-11-06,50,43
SSRS,2018-11-01,2018-11-03,1380,RV,2018,House,2018-11-06,53,42
SSRS,2018-11-01,2018-11-03,1151,LV,2018,House,2018-11-06,55,42
USC Dornsife/Los Angeles Times,2018-10-28,2018-11-03,2521,LV,2018,House,2018-11-06,56,41
Ipsos,2018-10-28,2018-11-03,1462,LV,2018,House,2018-11-06,48.4,42.7
Ipsos,2018-10-28,2018-11-03,2555,A,2018,House,2018-11-06,38.2,33.5
Ipsos,2018-10-28,2018-11-03,2143,RV,2018,House,2018-11-06,43.4,39.2
IBD/TIPP,2018-10-25,2018-11-03,798,LV,2018,House,2018-11-06,50,41
Harris Insights & Analytics,2018-10-31,2018-11-02,3000,RV,2018,House,2018-11-06,45,38
Harris Insights & Analytics,2018-10-31,2018-11-02,1932,LV,2018,House,2018-11-06,51,41
Harris Insights & Analytics,2018-10-31,2018-11-02,2348,LV,2018,House,2018-11-06,49,42
Morning Consult,2018-10-30,2018-11-02,1961,RV,2018,House,2018-11-06,43,40
Harris Insights & Analytics,2018-10-28,2018-11-02,5000,RV,2018,House,2018-11-06,44,37
Harris Insights & Analytics,2018-10-28,2018-11-02,3167,LV,2018,House,2018-11-06,50,42
Harris Insights & Analytics,2018-10-28,2018-11-02,3861,LV,2018,House,2018-11-06,48,42
Ipsos,2018-10-27,2018-11-02,1461,LV,2018,House,2018-11-06,47.5,44
Ipsos,2018-10-27,2018-11-02,2552,A,2018,House,2018-11-06,37.9,33.2
Ipsos,2018-10-27,2018-11-02,2131,RV,2018,House,2018-11-06,43.4,39.3
Harris Insights & Analytics,2018-10-30,2018-11-01,3000,RV,2018,House,2018-11-06,44,38
Harris Insights & Analytics,2018-10-30,2018-11-01,1913,LV,2018,House,2018-11-06,49,43
Harris Insights & Analytics,2018-10-30,2018-11-01,2321,LV,2018,House,2018-11-06,47,42
ABC News,2018-10-29,2018-11-01,1041,RV,2018,House,2018-11-06,50,43
ABC News,2018-10-29,2018-11-01,737,LV,2018,House,2018-11-06,51,44
ABC News,2018-10-29,2018-11-01,737,LV,2018,House,2018-11-06,52,44
Rasmussen (Pulse Opinion Research),2018-10-28,2018-11-01,2500,LV,2018,House,2018-11-06,45,46
Ipsos,2018-10-26,2018-11-01,1457,LV,2018,House,2018-11-06,48.1,43.5
Ipsos,2018-10-26,2018-11-01,2571,A,2018,House,2018-11-06,38.4,33
Ipsos,2018-10-26,2018-11-01,2140,RV,2018,House,2018-11-06,43.9,39.4
Harris Insights & Analytics,2018-10-29,2018-10-31,3000,RV,2018,House,2018-11-06,44,36
Harris Insights & Analytics,2018-10-29,2018-10-31,1883,LV,2018,House,2018-11-06,49,42
Harris Insights & Analytics,2018-10-29,2018-10-31,2294,LV,2018,House,2018-11-06,47,41
Ipsos,2018-10-25,2018-10-31,1445,LV,2018,House,2018-11-06,48.5,42.8
Ipsos,2018-10-25,2018-10-31,2589,A,2018,House,2018-11-06,39.3,32.6
Ipsos,2018-10-25,2018-10-31,2149,RV,2018,House,2018-11-06,44.8,38.7
YouGov,2018-10-28,2018-10-30,1296,RV,2018,House,2018-11-06,47,42
Harris Insights & Analytics,2018-10-28,2018-10-30,3000,RV,2018,House,2018-11-06,43,37
Harris Insights & Analytics,2018-10-28,2018-10-30,1864,LV,2018,House,2018-11-06,49,42
Harris Insights & Analytics,2018-10-28,2018-10-30,2266,LV,2018,House,2018-11-06,47,41
Morning Consult,2018-10-25,2018-10-30,2543,RV,2018,House,2018-11-06,46,38
Ipsos,2018-10-24,2018-10-30,1296,LV,2018,House,2018-11-06,49.8,41
Ipsos,2018-10-24,2018-10-30,2421,A,2018,House,2018-11-06,39.8,31.3
Ipsos,2018-10-24,2018-10-30,1976,RV,2018,House,2018-11-06,45.1,37.7
Marist College,2018-10-28,2018-10-29,822,RV,2018,House,2018-11-06,50,44
Marist College,2018-10-28,2018-10-29,509,LV,2018,House,2018-11-06,52,43
Ipsos,2018-10-23,2018-10-29,2581,A,2018,House,2018-11-06,39.9,31.9
Ipsos,2018-10-23,2018-10-29,1375,LV,2018,House,2018-11-06,49.1,41.9
Ipsos,2018-10-23,2018-10-29,2108,RV,2018,House,2018-11-06,44.6,37.8
Harris Insights & Analytics,2018-10-26,2018-10-28,1835,RV,2018,House,2018-11-06,47,38
Ipsos,2018-10-22,2018-10-28,2673,A,2018,House,2018-11-06,40.9,32.8
Ipsos,2018-10-22,2018-10-28,1481,LV,2018,House,2018-11-06,49,42.8
Ipsos,2018-10-22,2018-10-28,2212,RV,2018,House,2018-11-06,45.3,38.2
Gallup,2018-10-15,2018-10-28,675,LV,2018,House,2018-11-06,54,43
USC Dornsife/Los Angeles Times,2018-10-21,2018-10-27,2350,LV,2018,House,2018-11-06,57,40
Ipsos,2018-10-21,2018-10-27,3153,A,2018,House,2018-11-06,40.2,33
Ipsos,2018-10-21,2018-10-27,1734,LV,2018,House,2018-11-06,48.1,42.9
Ipsos,2018-10-21,2018-10-27,2605,RV,2018,House,2018-11-06,44.5,38.5
Harris Insights & Analytics,2018-10-21,2018-10-26,5002,RV,2018,House,2018-11-06,43,37
Harris Insights & Analytics,2018-10-21,2018-10-26,3099,LV,2018,House,2018-11-06,49,42
Harris Insights & Analytics,2018-10-21,2018-10-26,3811,LV,2018,House,2018-11-06,46,42
Ipsos,2018-10-20,2018-10-26,3323,A,2018,House,2018-11-06,40.1,33
Ipsos,2018-10-20,2018-10-26,1864,LV,2018,House,2018-11-06,48.2,42.2
Ipsos,2018-10-20,2018-10-26,2761,RV,2018,House,2018-11-06,44.4,38.2
Lucid,2018-10-24,2018-10-25,826,LV,2018,House,2018-11-06,53,47
Rasmussen (Pulse Opinion Research),2018-10-21,2018-10-25,2500,LV,2018,House,2018-11-06,47,44
Ipsos,2018-10-19,2018-10-25,3562,A,2018,House,2018-11-06,38.3,31.4
Ipsos,2018-10-19,2018-10-25,1943,LV,2018,House,2018-11-06,47.5,42
Ipsos,2018-10-19,2018-10-25,2886,RV,2018,House,2018-11-06,43.6,37.1
YouGov,2018-10-17,2018-10-25,2321,RV,2018,House,2018-11-06,48,40
Ipsos,2018-10-18,2018-10-24,3840,A,2018,House,2018-11-06,38.3,31.4
Ipsos,2018-10-18,2018-10-24,2095,LV,2018,House,2018-11-06,47.6,42.1
Ipsos,2018-10-18,2018-10-24,3105,RV,2018,House,2018-11-06,43.8,37.1
YouGov,2018-10-21,2018-10-23,1233,RV,2018,House,2018-11-06,47,41
Marist College,2018-10-21,2018-10-23,738,RV,2018,House,2018-11-06,50,40
Ipsos,2018-10-17,2018-10-23,2021,LV,2018,House,2018-11-06,47.2,42.6
Ipsos,2018-10-17,2018-10-23,3686,A,2018,House,2018-11-06,38.3,31.7
Ipsos,2018-10-17,2018-10-23,2988,RV,2018,House,2018-11-06,43.8,37.7
Suffolk University,2018-10-18,2018-10-22,1000,LV,2018,House,2018-11-06,51.2,42.6
McLaughlin & Associates,2018-10-17,2018-10-22,1000,LV,2018,House,2018-11-06,46,44
Ipsos,2018-10-16,2018-10-22,2112,LV,2018,House,2018-11-06,47.5,42.5
Ipsos,2018-10-16,2018-10-22,3859,A,2018,House,2018-11-06,38.7,31.7
Ipsos,2018-10-16,2018-10-22,3128,RV,2018,House,2018-11-06,44.4,37.7
Public Religion Research Institute,2018-10-16,2018-10-21,821,RV,2018,House,2018-11-06,48,39
Public Religion Research Institute,2018-10-16,2018-10-21,1003,A,2018,House,2018-11-06,48,35
Ipsos,2018-10-15,2018-10-21,1878,LV,2018,House,2018-11-06,47.3,42.3
Ipsos,2018-10-15,2018-10-21,3496,A,2018,House,2018-11-06,37.9,31.3
Ipsos,2018-10-15,2018-10-21,2813,RV,2018,House,2018-11-06,44.1,37.2
Harris Insights & Analytics,2018-10-19,2018-10-20,1000,RV,2018,House,2018-11-06,44,38
USC Dornsife/Los Angeles Times,2018-10-14,2018-10-20,2284,LV,2018,House,2018-11-06,55,42
Ipsos,2018-10-14,2018-10-20,1586,LV,2018,House,2018-11-06,48.6,41.2
Ipsos,2018-10-14,2018-10-20,2990,A,2018,House,2018-11-06,38.7,30.7
Ipsos,2018-10-14,2018-10-20,2391,RV,2018,House,2018-11-06,45.2,36.2
Morning Consult,2018-10-18,2018-10-19,1968,RV,2018,House,2018-11-06,45,39
Harris Insights & Analytics,2018-10-14,2018-10-19,5000,RV,2018,House,2018-11-06,44,36
Harris Insights & Analytics,2018-10-14,2018-10-19,2991,LV,2018,House,2018-11-06,50,41
Harris Insights & Analytics,2018-10-14,2018-10-19,3729,LV,2018,House,2018-11-06,48,40
Ipsos,2018-10-13,2018-10-19,1432,LV,2018,House,2018-11-06,49.5,40.5
Ipsos,2018-10-13,2018-10-19,2818,A,2018,House,2018-11-06,38.2,29.4
Ipsos,2018-10-13,2018-10-19,2220,RV,2018,House,2018-11-06,45.3,35.1
Ipsos,2018-10-10,2018-10-19,1301,RV,2018,House,2018-11-06,47,40
Ipsos,2018-10-10,2018-10-19,1486,A,2018,House,2018-11-06,44,35
Rasmussen (Pulse Opinion Research),2018-10-14,2018-10-18,2500,LV,2018,House,2018-11-06,47,44
Ipsos,2018-10-12,2018-10-18,1348,LV,2018,House,2018-11-06,50.2,40.7
Ipsos,2018-10-12,2018-10-18,2564,A,2018,House,2018-11-06,40,31.7
Ipsos,2018-10-12,2018-10-18,2080,RV,2018,House,2018-11-06,46,36.6
CBS News,2018-10-14,2018-10-17,975,RV,2018,House,2018-11-06,51,42
Hart Research Associates/Public Opinion Strategies,2018-10-14,2018-10-17,900,RV,2018,House,2018-11-06,48,41
Hart Research Associates/Public Opinion Strategies,2018-10-14,2018-10-17,645,LV,2018,House,2018-11-06,50,41
Ipsos,2018-10-11,2018-10-17,1170,LV,2018,House,2018-11-06,49.9,40.6
Ipsos,2018-10-11,2018-10-17,2257,A,2018,House,2018-11-06,39.7,31.6
Ipsos,2018-10-11,2018-10-17,1831,RV,2018,House,2018-11-06,45.7,36.6
YouGov,2018-10-14,2018-10-16,1273,RV,2018,House,2018-11-06,46,41
Fox News/Beacon Research/Shaw & Co. Research,2018-10-13,2018-10-16,1007,RV,2018,House,2018-11-06,47,40
Fox News/Beacon Research/Shaw & Co. Research,2018-10-13,2018-10-16,841,LV,2018,House,2018-11-06,49,42
Ipsos,2018-10-10,2018-10-16,1092,LV,2018,House,2018-11-06,50.6,39.3
Ipsos,2018-10-10,2018-10-16,2052,A,2018,House,2018-11-06,40,31.2
Ipsos,2018-10-10,2018-10-16,1682,RV,2018,House,2018-11-06,45.8,36
Ipsos,2018-10-09,2018-10-15,1194,LV,2018,House,2018-11-06,50.3,39.9
Ipsos,2018-10-09,2018-10-15,2221,A,2018,House,2018-11-06,39.2,32.2
Ipsos,2018-10-09,2018-10-15,1824,RV,2018,House,2018-11-06,44.6,37.3
Morning Consult,2018-10-11,2018-10-14,1959,RV,2018,House,2018-11-06,44,37
AP-NORC,2018-10-11,2018-10-14,1152,A,2018,House,2018-11-06,39,29
Ipsos,2018-10-08,2018-10-14,1216,LV,2018,House,2018-11-06,49.2,39.7
Ipsos,2018-10-08,2018-10-14,2240,A,2018,House,2018-11-06,38.6,31.9
Ipsos,2018-10-08,2018-10-14,1832,RV,2018,House,2018-11-06,43.8,37.7
Ipsos,2018-10-07,2018-10-13,1385,LV,2018,House,2018-11-06,49.1,39.7
Ipsos,2018-10-07,2018-10-13,2529,A,2018,House,2018-11-06,38.8,31.4
Ipsos,2018-10-07,2018-10-13,2072,RV,2018,House,2018-11-06,44.1,36.9
Triton Polling & Research,2018-10-02,2018-10-13,1000,LV,2018,House,2018-11-06,40.8,42.6
Harris Insights & Analytics,2018-10-07,2018-10-12,5001,RV,2018,House,2018-11-06,42,36
Harris Insights & Analytics,2018-10-07,2018-10-12,2954,LV,2018,House,2018-11-06,50,40
Harris Insights & Analytics,2018-10-07,2018-10-12,3724,LV,2018,House,2018-11-06,47,40
Ipsos,2018-10-06,2018-10-12,1797,LV,2018,House,2018-11-06,49.8,39.6
Ipsos,2018-10-06,2018-10-12,3171,A,2018,House,2018-11-06,40,31.5
Ipsos,2018-10-06,2018-10-12,2635,RV,2018,House,2018-11-06,45.4,37
ABC News,2018-10-08,2018-10-11,991,RV,2018,House,2018-11-06,53,42
ABC News,2018-10-08,2018-10-11,752,LV,2018,House,2018-11-06,55,42
ABC News,2018-10-08,2018-10-11,752,LV,2018,House,2018-11-06,56,42
ABC News,2018-10-08,2018-10-11,752,LV,2018,House,2018-11-06,55,43
ABC News,2018-10-08,2018-10-11,752,LV,2018,House,2018-11-06,55,42
ABC News,2018-10-08,2018-10-11,752,LV,2018,House,2018-11-06,55,43
Rasmussen (Pulse Opinion Research),2018-10-07,2018-10-11,2500,LV,2018,House,2018-11-06,45,44
Ipsos,2018-10-05,2018-10-11,2074,LV,2018,House,2018-11-06,50.4,39
Ipsos,2018-10-05,2018-10-11,3629,A,2018,House,2018-11-06,40.6,30.7
Ipsos,2018-10-05,2018-10-11,3016,RV,2018,House,2018-11-06,46.4,36.1
Ipsos,2018-10-04,2018-10-10,2076,LV,2018,House,2018-11-06,50,39.4
Ipsos,2018-10-04,2018-10-10,3646,A,2018,House,2018-11-06,40.1,31.2
Ipsos,2018-10-04,2018-10-10,3031,RV,2018,House,2018-11-06,45.8,36.4
YouGov,2018-10-07,2018-10-09,1156,RV,2018,House,2018-11-06,47,41
Ipsos,2018-10-03,2018-10-09,1925,LV,2018,House,2018-11-06,50.3,37.4
Ipsos,2018-10-03,2018-10-09,3542,A,2018,House,2018-11-06,38.7,28.1
Ipsos,2018-10-03,2018-10-09,2867,RV,2018,House,2018-11-06,45.5,33.6
Ipsos,2018-10-02,2018-10-08,2022,LV,2018,House,2018-11-06,50.2,37.6
Ipsos,2018-10-02,2018-10-08,3720,A,2018,House,2018-11-06,38.6,28
Ipsos,2018-10-02,2018-10-08,3014,RV,2018,House,2018-11-06,45.6,33.5
Morning Consult,2018-10-07,2018-10-07,2189,RV,2018,House,2018-11-06,48,38
Harris Insights & Analytics,2018-10-06,2018-10-07,1000,RV,2018,House,2018-11-06,43,37
SSRS,2018-10-04,2018-10-07,920,RV,2018,House,2018-11-06,51,42
SSRS,2018-10-04,2018-10-07,739,LV,2018,House,2018-11-06,54,41
Hart Research Associates/Public Opinion Strategies,2018-10-04,2018-10-07,800,RV,2018,House,2018-11-06,42,36
Ipsos,2018-10-01,2018-10-07,2032,LV,2018,House,2018-11-06,50.9,37.6
Ipsos,2018-10-01,2018-10-07,3732,A,2018,House,2018-11-06,38.8,28.2
Ipsos,2018-10-01,2018-10-07,3030,RV,2018,House,2018-11-06,46,33.4
SurveyMonkey,2018-10-01,2018-10-07,9532,A,2018,House,2018-11-06,43,42
Pew Research Center,2018-09-24,2018-10-07,8904,RV,2018,House,2018-11-06,47,38
Ipsos,2018-09-30,2018-10-06,1993,LV,2018,House,2018-11-06,51.1,37.2
Ipsos,2018-09-30,2018-10-06,3629,A,2018,House,2018-11-06,38.7,27.6
Ipsos,2018-09-30,2018-10-06,2944,RV,2018,House,2018-11-06,46.2,32.9
Ipsos,2018-09-29,2018-10-05,1956,LV,2018,House,2018-11-06,50.7,37.1
Ipsos,2018-09-29,2018-10-05,3544,A,2018,House,2018-11-06,38.7,27.8
Ipsos,2018-09-29,2018-10-05,2860,RV,2018,House,2018-11-06,45.7,32.7
Harris Insights & Analytics,2018-09-28,2018-10-05,6805,RV,2018,House,2018-11-06,43,36
Harris Insights & Analytics,2018-09-28,2018-10-05,5076,LV,2018,House,2018-11-06,48,40
Harris Insights & Analytics,2018-09-28,2018-10-05,4022,LV,2018,House,2018-11-06,49,41
